2024-01-22 17:49:41.7301 | DESKTOP-9VG6H90 | 47540 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:49:41.7301 | DESKTOP-9VG6H90 | 47540 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:49:41.7301 | DESKTOP-9VG6H90 | 47540 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:50:24.2300 | DESKTOP-9VG6H90 | 47540 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:50:24.2300 | DESKTOP-9VG6H90 | 47540 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:50:24.2300 | DESKTOP-9VG6H90 | 47540 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:50:24.2431 | DESKTOP-9VG6H90 | 47540 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:50:38.2881 | DESKTOP-9VG6H90 | 47540 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:50:38.2881 | DESKTOP-9VG6H90 | 47540 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:50:38.2881 | DESKTOP-9VG6H90 | 47540 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:50:38.2881 | DESKTOP-9VG6H90 | 47540 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:51:09.4472 | DESKTOP-9VG6H90 | 47540 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:51:09.4472 | DESKTOP-9VG6H90 | 47540 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:51:09.4472 | DESKTOP-9VG6H90 | 47540 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:51:09.4472 | DESKTOP-9VG6H90 | 47540 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:51:21.5518 | DESKTOP-9VG6H90 | 47540 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:51:21.5518 | DESKTOP-9VG6H90 | 47540 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:51:21.5518 | DESKTOP-9VG6H90 | 47540 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:51:21.5518 | DESKTOP-9VG6H90 | 47540 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
